LTV,Mortgage,Initial interest rate,"Followed by a Variable Rate, currently",Initial interest rate period,Overall cost for comparison (APRC),Booking fee,Annual overpayment allowance,Maximum loan amount, 
60% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.14% fixed,3.54%,2 Years fixed rate until 30.11.23,3.2% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard ,0.89% fixed,3.54%,2 Years fixed rate until 30.11.23,3.2% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.24% fixed,3.54%,3 Years fixed rate until 30.11.24,3.0% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.04% fixed,3.54%,3 Years fixed rate until 30.11.24,3.0% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.24% fixed,3.54%,5 Years fixed rate until 30.11.26,2.7% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.04% fixed,3.54%,5 Years fixed rate until 30.11.26,2.7% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.01% fixed,3.54%,5 Years fixed rate until 30.11.26,2.7% APRC,£1499,10%,"£ 5,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.44% fixed,3.54%,2 Years fixed rate until 30.11.23,3.2% APRC,£0,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.04% fixed,3.54%,2 Years fixed rate until 30.11.23,3.2% APRC,£999,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.59% fixed,3.54%,3 Years fixed rate until 30.11.24,3.1% APRC,£0,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.24% fixed,3.54%,3 Years fixed rate until 30.11.24,3.1% APRC,£999,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.59% fixed,3.54%,5 Years fixed rate until 30.11.26,2.8% APRC,£0,10%,"£ 3,000,000"
