LTV,Mortgage,Initial interest rate*,"Followed by a Variable Rate, currently*",Initial interest rate period*,Overall cost for comparison (APRC)*,Booking fee*,Annual overpayment allowance*,Maximum loan amount, 
60% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.29% fixed,3.54%,2 Years fixed rate until 31.08.23,3.2% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.04% fixed,3.54%,2 Years fixed rate until 31.08.23,3.2% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard Buy To Let ,2.09% fixed,4.60%,2 Years fixed rate until 31.08.23,3.8% APRC,£349,10%,"£ 2,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard Buy To Let ,1.54% fixed,4.60%,2 Years fixed rate until 31.08.23,3.9% APRC,£1999,10%,"£ 2,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.49% fixed,3.54%,5 Years fixed rate until 31.08.26,2.8% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.19% fixed,3.54%,5 Years fixed rate until 31.08.26,2.7% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.16% fixed,3.54%,5 Years fixed rate until 31.08.26,2.7% APRC,£1499,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard Buy To Let ,2.24% fixed,4.60%,5 Years fixed rate until 31.08.26,3.4% APRC,£349,10%,"£ 2,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard Buy To Let ,1.84% fixed,4.60%,5 Years fixed rate until 31.08.26,3.5% APRC,£1999,10%,"£ 2,000,000"
65% Maximum Loan to Value (LTV),2 Year Fixed Standard Buy To Let ,2.29% fixed,4.60%,2 Years fixed rate until 31.08.23,3.9% APRC,£349,10%,"£ 2,000,000"
65% Maximum Loan to Value (LTV),2 Year Fixed Standard Buy To Let ,1.79% fixed,4.60%,2 Years fixed rate until 31.08.23,4.0% APRC,£1999,10%,"£ 2,000,000"
65% Maximum Loan to Value (LTV),5 Year Fixed Standard Buy To Let ,2.39% fixed,4.60%,5 Years fixed rate until 31.08.26,3.5% APRC,£349,10%,"£ 2,000,000"
65% Maximum Loan to Value (LTV),5 Year Fixed Standard Buy To Let ,2.09% fixed,4.60%,5 Years fixed rate until 31.08.26,3.6% APRC,£1999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.59% fixed,3.54%,2 Years fixed rate until 31.08.23,3.3% APRC,£0,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.29% fixed,3.54%,2 Years fixed rate until 31.08.23,3.3% APRC,£999,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.79% fixed,3.54%,5 Years fixed rate until 31.08.26,2.9% APRC,£0,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.49% fixed,3.54%,5 Years fixed rate until 31.08.26,2.8% APRC,£999,10%,"£ 3,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.46% fixed,3.54%,5 Years fixed rate until 31.08.26,2.9% APRC,£1499,10%,"£ 3,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.59% fixed,3.54%,2 Years fixed rate until 31.08.23,3.3% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.29% fixed,3.54%,2 Years fixed rate until 31.08.23,3.3% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Standard Buy To Let ,2.29% fixed,4.60%,2 Years fixed rate until 31.08.23,3.9% APRC,£349,10%,"£ 1,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Standard Buy To Let ,1.79% fixed,4.60%,2 Years fixed rate until 31.08.23,4.0% APRC,£1999,10%,"£ 1,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.79% fixed,3.54%,5 Years fixed rate until 31.08.26,2.9% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.49% fixed,3.54%,5 Years fixed rate until 31.08.26,2.8% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.46% fixed,3.54%,5 Years fixed rate until 31.08.26,2.9% APRC,£1499,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Standard Buy To Let ,2.39% fixed,4.60%,5 Years fixed rate until 31.08.26,3.5% APRC,£349,10%,"£ 1,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Standard Buy To Let ,2.09% fixed,4.60%,5 Years fixed rate until 31.08.26,3.6% APRC,£1999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,2.34% fixed,3.54%,2 Years fixed rate until 31.08.23,3.4% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.94% fixed,3.54%,2 Years fixed rate until 31.08.23,3.4% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.49% fixed,3.54%,5 Years fixed rate until 31.08.26,3.2% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.14% fixed,3.54%,5 Years fixed rate until 31.08.26,3.1% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.11% fixed,3.54%,5 Years fixed rate until 31.08.26,3.1% APRC,£1499,10%,"£ 1,000,000"
