LTV,Mortgage,Initial interest rate*,"Followed by a Variable Rate, currently*",Initial interest rate period*,Overall cost for comparison (APRC)*,Booking fee*,Annual overpayment allowance*,Maximum loan amount, 
60% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.24% fixed,3.54%,2 Years fixed rate until 31.08.23,3.2% APRC,£0,10%,"£5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard ,0.99% fixed,3.54%,2 Years fixed rate until 31.08.23,3.2% APRC,£999,10%,"£5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver Buy To Let ,1.99% fixed,4.60%,2 Years fixed rate until 31.08.23,4.2% APRC,£0,10%,"£2,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard Buy To Let ,1.39% fixed,4.60%,2 Years fixed rate until 31.08.23,4.3% APRC,£1999,10%,"£2,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.34% fixed,3.54%,3 Years fixed rate until 31.08.24,3% APRC,£0,10%,"£5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.14% fixed,3.54%,3 Years fixed rate until 31.08.24,3% APRC,£999,10%,"£5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.39% fixed,3.54%,5 Years fixed rate until 31.08.26,2.7% APRC,£0,10%,"£5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.19% fixed,3.54%,5 Years fixed rate until 31.08.26,2.7% APRC,£999,10%,"£5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.16% fixed,3.54%,5 Years fixed rate until 31.08.26,2.7% APRC,£1499,10%,"£5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver Buy To Let ,2.09% fixed,4.60%,5 Years fixed rate until 31.08.26,3.7% APRC,£0,10%,"£2,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard Buy To Let ,1.79% fixed,4.60%,5 Years fixed rate until 31.08.26,3.8% APRC,£1999,10%,"£2,000,000"
65% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver Buy To Let ,2.24% fixed,4.60%,2 Years fixed rate until 31.08.23,4.3% APRC,£0,10%,"£2,000,000"
