Date_recorded,Picture_url,Title,Year,Type,Mileage,Engine Size,BHP,Transmition,Fuel Type,Price 
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/68a3929728f9420589f676f389189fb3.jpg, SEAT Leon 1.8 20v Cupra 5dr, 2003 (03 reg), Hatchback, 102000 miles, 1.8L, 180bhp, Manual, Petrol, 1750
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/abaddae5eb75429fa5720cf75980eb41.jpg, SEAT Leon 1.8 20v Turbo FR 5dr, 2005 (05 reg), Hatchback, 107000 miles, 1.8L, 180bhp, Manual, Petrol, 1950
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/b26153abaf7d4d818cc8adfa50ba6f24.jpg, SEAT Leon 2.0 Tsi 290 Cupra [ez] 5Dr Dsg Petrol Hatchback, Hatchback, 2.0L, 296bhp, Automatic, Petrol, BRAND NEW - IN STOCK, 29870
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/9b07b8beb4394a839fd65786c1479151.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2003 (03 reg), Hatchback, 153000 miles, 1.8L, 210bhp, Manual, Petrol, 1995
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/ff78cf6c11ce42a0937f85c2519e008e.jpg, SEAT Leon 1.8 20v Cupra 5dr, 2001 (X reg), Hatchback, 80000 miles, 1.8L, 180bhp, Manual, Petrol, 2000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/8933f3a0ed7e48428eebadb4980ccbba.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2005 (05 reg), Hatchback, 110000 miles, 1.8L, 222bhp, Manual, Petrol, 2700
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/e15f2257c3a84db386f308ff7c394d02.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2004 (04 reg), Hatchback, 129000 miles, 1.8L, 222bhp, Manual, Petrol, 2990
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/8bf2f41f0a6b4e56b9ac7ea3cc0f2e07.jpg, SEAT Leon 2.0 TDI DPF FR 5dr, 2007 (07 reg), Hatchback, 95113 miles, 2.0L, 168bhp, Manual, Diesel, 2990
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/904d200e880e43a88599792fc9bfb036.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2004 (54 reg), Hatchback, 128000 miles, 1.8L, 222bhp, Manual, Petrol, 3195
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c012abc92b674c22980a0491cf45e6a3.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2003 (03 reg), Hatchback, 148000 miles, 1.8L, 210bhp, Manual, Petrol, 3200
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/72f42aebc0234a29bdb6fd7dccf6d972.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2005 (55 reg), Hatchback, 121509 miles, 1.8L, 222bhp, Manual, Petrol, 3290
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/d0f9fc37e9674cceb85c370b1d4911be.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2004 (04 reg), Hatchback, 117000 miles, 1.8L, 222bhp, Manual, Petrol, 3490
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/70099dcb961d4fbc834384a9443d4e96.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2006 (55 reg), Hatchback, 130671 miles, 1.8L, 222bhp, Manual, Petrol, 3595
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/2992bbe061ca445dbac160165cf1eb4b.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2005 (05 reg), Hatchback, 113000 miles, 1.8L, 222bhp, Manual, Petrol, 3980
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/9b0f63758a3443f6903fe0d2bb16e773.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2004 (04 reg), Hatchback, 97200 miles, 1.8L, 222bhp, Manual, Petrol, 3990
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/600da3f181234002af64299f221338d3.jpg, SEAT Leon 1.8 T CUPRA 20V 5d 177 BHP FIND ANOTHER-2 OWNERS., 2004 (04 reg), Hatchback, 61663 miles, 1.8L, 180bhp, Manual, Petrol, 3995
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/29fa201509324c02ae6ffc9de4b9cb2c.jpg, SEAT Leon 2.0 TDI FR 5dr, 2010 (10 reg), Hatchback, 114855 miles, 2.0L, 168bhp, Automatic, Diesel, 4295
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/852d9463d5554326a68c35d72dd1b53f.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2005 (05 reg), Hatchback, 100000 miles, 1.8L, 222bhp, Manual, Petrol, 4295
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/ff40c0884b374b499543c856f7306c56.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2008, Hatchback, 82000 miles, 2.0L, 237bhp, Manual, Petrol, 4450
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/a13f852fe1ef4946b08d23c703b8e968.jpg, SEAT Leon 2.0 TD FR 5dr, 2010 (10 reg), Hatchback, 97000 miles, 2.0L, 168bhp, Manual, Diesel, 4795
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/48b6c596505444309ca7ccbecc53e246.jpg, SEAT Leon 1.9 CUPRA TDI 5d 148 BHP 1 OWNER CAR FROM NEW FIND …, 2004 (04 reg), Hatchback, 77793 miles, 1.9L, 150bhp, Manual, Diesel, 4795
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/eeab02bb242642c08126676daa9e2037.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2007 (07 reg), Hatchback, 110000 miles, 2.0L, 237bhp, Manual, Petrol, 5250
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/7ea27b74767a4d0c852eac030497dbf6.jpg, SEAT Leon 2.0 TSI Cupra 5dr, 2009 (59 reg), Hatchback, 104000 miles, 2.0L, 237bhp, Manual, Petrol, 5400
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/339fcc34a90245ab83121dc4bb7d1f09.jpg, SEAT Leon 1.4 Tsi Act 150 Fr 5Dr [technology Pack] Petrol Hatchback, 2015 (15 reg), Hatchback, 25199 miles, 1.4L, 148bhp, Manual, Petrol, 10800
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/5051e4ae3c1f4bc0885605bda4f871dd.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2009 (58 reg), Hatchback, 97404 miles, 2.0L, 237bhp, Manual, Petrol, 5495
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/cf29f41762ef4917bafaa1c65c469da8.jpg, SEAT Leon 1.8 20v Cupra R 5dr, 2005 (55 reg), Hatchback, 75000 miles, 1.8L, 222bhp, Manual, Petrol, 5795
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/22cb78a3cc9d4a2d9242724727bf10e1.jpg, SEAT Leon 2.0 TSI Cupra 5dr, 2010 (59 reg), Hatchback, 66665 miles, 2.0L, 237bhp, Manual, Petrol, 6000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/ba798f1dac474252b862be4f19d0cf10.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2008 (58 reg), Hatchback, 95841 miles, 2.0L, 237bhp, Manual, Petrol, 6000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/2bc8b0e20de0421e917cb1407f0003bd.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2007 (57 reg), Hatchback, 80000 miles, 2.0L, 237bhp, Manual, Petrol, 6295
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/d4ebe5163bb542d795bde7af7b603127.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2009 (59 reg), Hatchback, 76760 miles, 2.0L, 237bhp, Manual, Petrol, 6989
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/0acb846f0ff54c9298f213da7bc5a25b.jpg, SEAT Leon TSI CUPRA 2.0 5dr, 2011 (11 reg), Hatchback, 110700 miles, 2.0L, 237bhp, Manual, Petrol, 6999
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/357a74c2030848799b3fb41938913a5c.jpg, SEAT Leon 2.0 TFSI Cupra 5dr, 2009 (09 reg), Hatchback, 95000 miles, 2.0L, 237bhp, Manual, Petrol, 7000
2019-02-09, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/18c440dec7fc49208ebd5dcd988bb883.jpg, SEAT Leon 2.0 16V T FSI Cupra 5dr, 2008 (08 reg), Hatchback, 74500 miles, 2.0L, 237bhp, Manual, Petrol, 7490
